the_geom,OBJECTID,PARK,PARK_NO,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
POINT (-87.6400658444886 41.771930306628846),1108,HARRIS (RYAN) MEMORIAL,1225,PLAYGROUND,OUTDOOR,-87.64006584,41.77193031,2536
POINT (-87.6398664634514 41.772114716484),1109,HARRIS (RYAN) MEMORIAL,1225,SPRAY FEATURE,OUTDOOR,-87.63986646,41.77211472,2537
POINT (-87.67161219195917 41.85742608593031),1110,HARRISON (CARTER),213,BASKETBALL COURT,OUTDOOR,-87.67161219,41.85742609,2538
POINT (-87.6718749516822 41.85741698448525),1111,HARRISON (CARTER),213,BASKETBALL COURT,OUTDOOR,-87.67187495,41.85741698,2539
POINT (-87.67471920290434 41.85684049996116),1112,HARRISON (CARTER),213,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.6747192,41.8568405,2540
POINT (-87.6718538361559 41.85698552118651),1113,HARRISON (CARTER),213,GYMNASIUM,INDOOR,-87.67185384,41.85698552,2541
POINT (-87.67173913701603 41.856734992316426),1114,HARRISON (CARTER),213,GYMNASTIC CENTER,INDOOR,-87.67173914,41.85673499,2542
POINT (-87.67225336759927 41.85709776179967),1115,HARRISON (CARTER),213,HORSESHOE COURT,OUTDOOR,-87.67225337,41.85709776,2543
POINT (-87.67223207468592 41.85679495500406),1116,HARRISON (CARTER),213,POOL (INDOOR),INDOOR,-87.67223207,41.85679496,2544
POINT (-87.67378645098694 41.857236918053665),1117,HARRISON (CARTER),213,BASEBALL JR/SOFTBALL,OUTDOOR,-87.67378645,41.85723692,2545
POINT (-87.67324471724702 41.85745140200538),1118,HARRISON (CARTER),213,BASEBALL JR/SOFTBALL,OUTDOOR,-87.67324472,41.8574514,2546
POINT (-87.67270583258772 41.857439727771705),1119,HARRISON (CARTER),213,BASEBALL SR,OUTDOOR,-87.67270583,41.85743973,2547
POINT (-87.67317552848294 41.85658592868886),1120,HARRISON (CARTER),213,BASEBALL SR,OUTDOOR,-87.67317553,41.85658593,2548
