the_geom,OBJECTID,PARK,PARK_NO,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
POINT (-87.78525937023444 41.951359370805214),1894,MERRIMAC,256,BASEBALL JR/SOFTBALL,OUTDOOR,-87.78525937,41.95135937,3322
POINT (-87.7861789450936 41.95131263239984),1895,MERRIMAC,256,BASEBALL JR/SOFTBALL,OUTDOOR,-87.78617895,41.95131263,3323
POINT (-87.78450059425927 41.95241053384859),1896,MERRIMAC,256,PLAYGROUND,OUTDOOR,-87.78450059,41.95241053,3324
POINT (-87.78435128509061 41.95258741140103),1897,MERRIMAC,256,SPRAY FEATURE,OUTDOOR,-87.78435129,41.95258741,3325
POINT (-87.6705281459456 41.94997970202428),1898,MERRYMAN (THERON),1124,PLAYGROUND PARK,OUTDOOR,-87.67052815,41.9499797,3326
POINT (-87.62673194589713 41.81722271194357),1899,METCALFE (RALPH),448,BASKETBALL COURT,OUTDOOR,-87.62673195,41.81722271,3327
POINT (-87.62664691197686 41.81695190553803),1900,METCALFE (RALPH),448,BASKETBALL COURT,OUTDOOR,-87.62664691,41.81695191,3328
POINT (-87.62689749900562 41.81775390222516),1901,METCALFE (RALPH),448,FITNESS COURSE,OUTDOOR,-87.6268975,41.8177539,3329
POINT (-87.62686613724719 41.818921473033924),1902,METCALFE (RALPH),448,PLAYGROUND,OUTDOOR,-87.62686614,41.81892147,3330
POINT (-87.62676108699654 41.818785685284716),1903,METCALFE (RALPH),448,SPRAY FEATURE,OUTDOOR,-87.62676109,41.81878569,3331
POINT (-87.6268028661338 41.818356260216866),1904,METCALFE (RALPH),448,TENNIS COURT,OUTDOOR,-87.62680287,41.81835626,3332
POINT (-87.62697899386502 41.81834694798742),1905,METCALFE (RALPH),448,TENNIS COURT,OUTDOOR,-87.62697899,41.81834695,3333
POINT (-87.61560283051321 41.764685774814495),1906,MEYERING (WILLIAM),1049,BASKETBALL COURT,OUTDOOR,-87.61560283,41.76468577,3334
POINT (-87.61564939574474 41.76413793227145),1907,MEYERING (WILLIAM),1049,BASEBALL JR/SOFTBALL,OUTDOOR,-87.6156494,41.76413793,3335
POINT (-87.61646189933107 41.764705562964345),1908,MEYERING (WILLIAM),1049,PLAYGROUND,OUTDOOR,-87.6164619,41.76470556,3336
POINT (-87.61593947213538 41.76490568835722),1909,MEYERING (WILLIAM),1049,WATER PLAYGROUND,OUTDOOR,-87.61593947,41.76490569,3337
POINT (-87.71139492049215 41.84093114501282),1910,MIAMI,453,PLAYGROUND PARK,OUTDOOR,-87.71139492,41.84093115,3338
POINT (-87.67762147501045 41.79746367773984),1911,MICEK (FRANK),1028,BASKETBALL COURT,OUTDOOR,-87.67762148,41.79746368,3339
POINT (-87.67827867564452 41.797303541985606),1912,MICEK (FRANK),1028,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.67827868,41.79730354,3340
POINT (-87.6776418187223 41.79729063954132),1913,MICEK (FRANK),1028,PLAYGROUND,OUTDOOR,-87.67764182,41.79729064,3341
POINT (-87.67755924048649 41.797106901968256),1914,MICEK (FRANK),1028,SPRAY FEATURE,OUTDOOR,-87.67755924,41.7971069,3342
POINT (-87.6778960102649 41.797374243859174),1915,MICEK (FRANK),1028,VOLLEYBALL,OUTDOOR,-87.67789601,41.79737424,3343
POINT (-87.60510126632751 41.78675303690227),1916,MIDWAY PLAISANCE,1268,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.60510127,41.78675304,3344
POINT (-87.60345121700297 41.7867634948647),1917,MIDWAY PLAISANCE,1268,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.60345122,41.78676349,3345
POINT (-87.60208031994263 41.786817565644554),1918,MIDWAY PLAISANCE,1268,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.60208032,41.78681757,3346
POINT (-87.60034637905446 41.786827444968154),1919,MIDWAY PLAISANCE,1268,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.60034638,41.78682744,3347
POINT (-87.59743751735682 41.7868716370601),1920,MIDWAY PLAISANCE,1268,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.59743752,41.78687164,3348
POINT (-87.59500450190909 41.786876955470355),1921,MIDWAY PLAISANCE,1268,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.5950045,41.78687696,3349
POINT (-87.59276722845092 41.78688348435753),1922,MIDWAY PLAISANCE,1268,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.59276723,41.78688348,3350
POINT (-87.59894028421724 41.786827552959124),1923,MIDWAY PLAISANCE,1268,ICESKATING,OUTDOOR,-87.59894028,41.78682755,3351
POINT (-87.71606748059759 41.86355345835807),1924,MILLARD (ALDEN),1127,BASKETBALL COURT,OUTDOOR,-87.71606748,41.86355346,3352
POINT (-87.71629974989258 41.863543955469666),1925,MILLARD (ALDEN),1127,PLAYGROUND PARK,OUTDOOR,-87.71629975,41.86354396,3353
POINT (-87.65256344178316 41.870466145656174),1926,MILLER (SAMUEL),1128,PLAYGROUND PARK,OUTDOOR,-87.65256344,41.87046615,3354
POINT (-87.76383174543011 41.785806666503916),1927,MINUTEMAN,307,BASKETBALL COURT,OUTDOOR,-87.76383175,41.78580667,3355
POINT (-87.76410216193584 41.7857347851245),1928,MINUTEMAN,307,BASKETBALL COURT,OUTDOOR,-87.76410216,41.78573479,3356
POINT (-87.7652285563475 41.784599750644205),1929,MINUTEMAN,307,TENNIS COURT,OUTDOOR,-87.76522856,41.78459975,3357
POINT (-87.76538945250995 41.78455412552498),1930,MINUTEMAN,307,TENNIS COURT,OUTDOOR,-87.76538945,41.78455413,3358
POINT (-87.76380052006718 41.78539229675635),1931,MINUTEMAN,307,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.76380052,41.7853923,3359
POINT (-87.76320792334401 41.78511129813963),1932,MINUTEMAN,307,BASEBALL JR/SOFTBALL,OUTDOOR,-87.76320792,41.7851113,3360
POINT (-87.76451532557022 41.784773861147656),1933,MINUTEMAN,307,BASEBALL JR/SOFTBALL,OUTDOOR,-87.76451533,41.78477386,3361
POINT (-87.76254075167631 41.78516417837047),1934,MINUTEMAN,307,PLAYGROUND,OUTDOOR,-87.76254075,41.78516418,3362
POINT (-87.76263070751811 41.785680889474605),1935,MINUTEMAN,307,VOLLEYBALL (SAND),OUTDOOR,-87.76263071,41.78568089,3363
POINT (-87.76306564093235 41.78577845837454),1936,MINUTEMAN,307,BASEBALL SR,OUTDOOR,-87.76306564,41.78577846,3364
POINT (-87.76407839481894 41.784902607169),1937,MINUTEMAN,307,BASEBALL SR,OUTDOOR,-87.76407839,41.78490261,3365
POINT (-87.59508253063072 41.777333365969476),1938,MOCCASIN RANCH,337,PLAYGROUND PARK,OUTDOOR,-87.59508253,41.77733337,3366
POINT (-87.68924855575756 41.7734665599809),1939,MONTGOMERY (MABEL),1129,PLAYGROUND PARK,OUTDOOR,-87.68924856,41.77346656,3367
POINT (-87.71837075751696 41.91420372121804),1940,MONTICELLO,1130,BASKETBALL COURT,OUTDOOR,-87.71837076,41.91420372,3368
POINT (-87.71817619219941 41.914155165567685),1941,MONTICELLO,1130,PLAYGROUND,OUTDOOR,-87.71817619,41.91415517,3369
POINT (-87.81781470584876 42.00162843920067),1942,MONUMENT,57,PLAYGROUND,OUTDOOR,-87.81781471,42.00162844,3370
POINT (-87.7519106946778 41.87803978067119),1943,MOORE (MAURICE),1050,BASKETBALL COURT,OUTDOOR,-87.75191069,41.87803978,3371
POINT (-87.75218034791735 41.87828144261255),1944,MOORE (MAURICE),1050,BASEBALL JR/SOFTBALL,OUTDOOR,-87.75218035,41.87828144,3372
POINT (-87.75172547232387 41.87783568216376),1945,MOORE (MAURICE),1050,PLAYGROUND,OUTDOOR,-87.75172547,41.87783568,3373
POINT (-87.75160651632737 41.87806008530082),1946,MOORE (MAURICE),1050,SPRAY FEATURE,OUTDOOR,-87.75160652,41.87806009,3374
POINT (-87.65456637005573 41.78941091502797),1947,MORAN (TERRANCE),1051,HORSESHOE COURT,OUTDOOR,-87.65456637,41.78941092,3375
POINT (-87.65452807198768 41.790006643552736),1948,MORAN (TERRENCE),1051,BASKETBALL COURT,OUTDOOR,-87.65452807,41.79000664,3376
POINT (-87.62315397202342 41.72104497661546),1,ABBOTT (ROBERT),259,BASKETBALL COURT,OUTDOOR,-87.62315397,41.72104498,1428
POINT (-87.6224673530087 41.71845619083072),2,ABBOTT (ROBERT),259,BASKETBALL COURT,OUTDOOR,-87.62246735,41.71845619,1429
POINT (-87.62236840816345 41.717940219504406),3,ABBOTT (ROBERT),259,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.62236841,41.71794022,1430
POINT (-87.62214677990018 41.719733107477936),4,ABBOTT (ROBERT),259,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.62214678,41.71973311,1431
POINT (-87.6231267679213 41.72024788018448),5,ABBOTT (ROBERT),259,BASEBALL JR/SOFTBALL,OUTDOOR,-87.62312677,41.72024788,1432
POINT (-87.6223214812124 41.720266487979714),6,ABBOTT (ROBERT),259,BASEBALL JR/SOFTBALL,OUTDOOR,-87.62232148,41.72026649,1433
POINT (-87.62113852819498 41.72027264161867),7,ABBOTT (ROBERT),259,BASEBALL JR/SOFTBALL,OUTDOOR,-87.62113853,41.72027264,1434
POINT (-87.62230559640417 41.72089146442801),8,ABBOTT (ROBERT),259,POOL (OUTDOOR),OUTDOOR,-87.6223056,41.72089146,1435
POINT (-87.6213513288972 41.720959688136716),9,ABBOTT (ROBERT),259,PLAYGROUND,OUTDOOR,-87.62135133,41.72095969,1436
POINT (-87.62181913014133 41.72115411221324),10,ABBOTT (ROBERT),259,SENIOR CENTER,INDOOR,-87.62181913,41.72115411,1437
POINT (-87.62187172706787 41.72148858035998),11,ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,-87.62187173,41.72148858,1438
POINT (-87.6224925227918 41.72147894390347),12,ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,-87.62249252,41.72147894,1439
POINT (-87.62115173059676 41.719484219798275),13,ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,-87.62115173,41.71948422,1440
POINT (-87.62304992610973 41.71946564167666),14,ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,-87.62304993,41.71946564,1441
POINT (-87.6233286576854 41.72070234901114),15,ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,-87.62332866,41.72070235,1442
POINT (-87.62316225417294 41.72070132070993),16,ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,-87.62316225,41.72070132,1443
POINT (-87.62272255241683 41.71815449924817),17,ABBOTT (ROBERT),259,TRACK,OUTDOOR,-87.62272255,41.7181545,1444
POINT (-87.62338345158496 41.72103628535794),18,ABBOTT (ROBERT),259,VOLLEYBALL,OUTDOOR,-87.62338345,41.72103629,1445
POINT (-87.65538916398687 41.6877853667758),19,ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,-87.65538916,41.68778537,1446
POINT (-87.65512832386929 41.68778382777216),20,ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,-87.65512832,41.68778383,1447
POINT (-87.65382714288859 41.688518450498144),21,ADA (SAWYER GARRETT),45,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.65382714,41.68851845,1448
POINT (-87.6561490809432 41.688133149398176),22,ADA (SAWYER GARRETT),45,FITNESS CENTER,INDOOR,-87.65614908,41.68813315,1449
POINT (-87.65597963372882 41.6882281150238),23,ADA (SAWYER GARRETT),45,GYMNASIUM,INDOOR,-87.65597963,41.68822812,1450
POINT (-87.65467803872502 41.688825731902895),24,ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR,-87.65467804,41.68882573,1451
POINT (-87.65264747696843 41.688041878502325),25,ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR,-87.65264748,41.68804188,1452
POINT (-87.6560741909999 41.68857668626113),26,ADA (SAWYER GARRETT),45,POOL (OUTDOOR),OUTDOOR,-87.65607419,41.68857669,1453
POINT (-87.65519740257272 41.689050059266),27,ADA (SAWYER GARRETT),45,PLAYGROUND,OUTDOOR,-87.6551974,41.68905006,1454
POINT (-87.6558392391522 41.68872452434767),28,ADA (SAWYER GARRETT),45,SPRAY FEATURE,OUTDOOR,-87.65583924,41.68872452,1455
POINT (-87.65466555764021 41.688053813691695),29,ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR,-87.65466556,41.68805381,1456
POINT (-87.65267344554921 41.68883445924945),30,ADA (SAWYER GARRETT),45,BASEBALL SR,OUTDOOR,-87.65267345,41.68883446,1457
POINT (-87.65658331742081 41.687812987411476),31,ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,-87.65658332,41.68781299,1458
POINT (-87.65640484856587 41.68781193633157),32,ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,-87.65640485,41.68781194,1459
POINT (-87.6562263257678 41.68781603027545),33,ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,-87.65622633,41.68781603,1460
POINT (-87.65605472110398 41.68781501909372),34,ADA (SAWYER GARRETT),45,TENNIS COURT,OUTDOOR,-87.65605472,41.68781502,1461
POINT (-87.65509193685483 41.916889659765204),35,ADAMS (GEORGE & ADELE),1019,PLAYGROUND,OUTDOOR,-87.65509194,41.91688966,1462
POINT (-87.65513282635534 41.917122858507135),36,ADAMS (GEORGE & ADELE),1019,WATER PLAYGROUND,OUTDOOR,-87.65513283,41.91712286,1463
POINT (-87.77635632136295 41.91915087423334),37,AIELLO (JOHN),1280,PLAYGROUND PARK,OUTDOOR,-87.77635632,41.91915087,1464
POINT (-87.69491846557902 41.93520242581852),38,ALGONQUIN,1161,PLAYGROUND PARK,OUTDOOR,-87.69491847,41.93520243,1465
POINT (-87.69306266084863 41.87422459375901),39,ALTGELD (JOHN),206,BASKETBALL COURT,OUTDOOR,-87.69306266,41.87422459,1466
POINT (-87.69227220915364 41.8743172293525),40,ALTGELD (JOHN),206,ARTIFICIAL TURF FIELD,OUTDOOR,-87.69227221,41.87431723,1467
POINT (-87.6933342430158 41.87442076612007),41,ALTGELD (JOHN),206,FITNESS CENTER,INDOOR,-87.69333424,41.87442077,1468
POINT (-87.69328059357856 41.87431831336265),42,ALTGELD (JOHN),206,GYMNASIUM,INDOOR,-87.69328059,41.87431831,1469
POINT (-87.69193201232657 41.874653080736),43,ALTGELD (JOHN),206,BASEBALL JR/SOFTBALL,OUTDOOR,-87.69193201,41.87465308,1470
POINT (-87.69336792715046 41.87402277372429),45,ALTGELD (JOHN),206,POOL (OUTDOOR),OUTDOOR,-87.69336793,41.87402277,1472
POINT (-87.6933147997674 41.87469548641997),46,ALTGELD (JOHN),206,PLAYGROUND,OUTDOOR,-87.6933148,41.87469549,1473
POINT (-87.69274617153398 41.87462062087846),47,ALTGELD (JOHN),206,BASEBALL SR,OUTDOOR,-87.69274617,41.87462062,1474
POINT (-87.77823864644057 41.91395503094655),48,AMUNDSEN (ROALD),129,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.77823865,41.91395503,1475
POINT (-87.78025114634274 41.91337705723095),49,AMUNDSEN (ROALD),129,FITNESS CENTER,INDOOR,-87.78025115,41.91337706,1476
POINT (-87.78022635899845 41.91395629634003),50,AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,-87.78022636,41.9139563,1477
POINT (-87.7791729585832 41.91444869104217),51,AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,-87.77917296,41.91444869,1478
POINT (-87.77740526424695 41.91438731735996),52,AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,-87.77740526,41.91438732,1479
POINT (-87.77738588050276 41.9132249853744),53,AMUNDSEN (ROALD),129,BASEBALL JR/SOFTBALL,OUTDOOR,-87.77738588,41.91322499,1480
POINT (-87.77954735840683 41.91341152620722),54,AMUNDSEN (ROALD),129,PLAYGROUND,OUTDOOR,-87.77954736,41.91341153,1481
POINT (-87.77944815489964 41.91329658505404),55,AMUNDSEN (ROALD),129,SPRAY FEATURE,OUTDOOR,-87.77944815,41.91329659,1482
POINT (-87.77889360925748 41.913355542340234),56,AMUNDSEN (ROALD),129,BASEBALL SR,OUTDOOR,-87.77889361,41.91335554,1483
POINT (-87.62091376990888 41.82607413666898),57,ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,-87.62091377,41.82607414,1484
POINT (-87.62090873921947 41.82586374262682),58,ANDERSON (LOUIS),1020,BASKETBALL COURT,OUTDOOR,-87.62090874,41.82586374,1485
POINT (-87.62088153197789 41.82627613698568),59,ANDERSON (LOUIS),1020,GYMNASIUM,INDOOR,-87.62088153,41.82627614,1486
POINT (-87.6206402015188 41.82591274024873),60,ANDERSON (LOUIS),1020,PLAYGROUND,OUTDOOR,-87.6206402,41.82591274,1487
POINT (-87.62064920094456 41.82576521184934),61,ANDERSON (LOUIS),1020,SPRAY FEATURE,OUTDOOR,-87.6206492,41.82576521,1488
POINT (-87.66928219894392 41.97714904058287),62,ANDERSONVILLE,1078,PLAYGROUND PARK,OUTDOOR,-87.6692822,41.97714904,1489
POINT (-87.73519041438125 41.802657946940485),63,ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,-87.73519041,41.80265795,1490
POINT (-87.73477806570155 41.80386553330978),64,ARCHER (WILLIAM BEATTY),250,BASKETBALL COURT,OUTDOOR,-87.73477807,41.80386553,1491
POINT (-87.7348778158759 41.80499407710717),65,ARCHER (WILLIAM BEATTY),250,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.73487782,41.80499408,1492
POINT (-87.73510033670219 41.80349436452633),66,ARCHER (WILLIAM BEATTY),250,FITNESS CENTER,INDOOR,-87.73510034,41.80349436,1493
POINT (-87.73517321917417 41.8035727705648),67,ARCHER (WILLIAM BEATTY),250,GYMNASIUM,INDOOR,-87.73517322,41.80357277,1494
POINT (-87.73394435094501 41.80254525341368),68,ARCHER (WILLIAM BEATTY),250,HORSESHOE COURT,OUTDOOR,-87.73394435,41.80254525,1495
POINT (-87.73425168116816 41.80472622546121),69,ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,-87.73425168,41.80472623,1496
POINT (-87.73426053934733 41.805100273361745),70,ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,-87.73426054,41.80510027,1497
POINT (-87.73536074215663 41.805576971041745),71,ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,-87.73536074,41.80557697,1498
POINT (-87.7344890508016 41.80309293653955),72,ARCHER (WILLIAM BEATTY),250,BASEBALL JR/SOFTBALL,OUTDOOR,-87.73448905,41.80309294,1499
POINT (-87.73423123561223 41.803608730592885),73,ARCHER (WILLIAM BEATTY),250,PLAYGROUND,OUTDOOR,-87.73423124,41.80360873,1500
POINT (-87.73432568043745 41.80385149225175),74,ARCHER (WILLIAM BEATTY),250,SPRAY FEATURE,OUTDOOR,-87.73432568,41.80385149,1501
POINT (-87.73525526079497 41.80431128027902),75,ARCHER (WILLIAM BEATTY),250,BASEBALL SR,OUTDOOR,-87.73525526,41.80431128,1502
POINT (-87.73398888326345 41.80312726689893),76,ARCHER (WILLIAM BEATTY),250,TENNIS COURT,OUTDOOR,-87.73398888,41.80312727,1503
POINT (-87.73397959652448 41.802799389494126),77,ARCHER (WILLIAM BEATTY),250,ARTIFICIAL TURF FIELD,OUTDOOR,-87.7339796,41.80279939,1504
POINT (-87.735086774113 41.80384867156302),78,ARCHER (WILLIAM BEATTY),250,WATER PLAYGROUND,OUTDOOR,-87.73508677,41.80384867,1505
POINT (-87.63365368193618 41.833567097164725),79,ARMOUR (PHILIP) SQUARE,3,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.63365368,41.8335671,1506
POINT (-87.63498316491501 41.83413799817297),80,ARMOUR (PHILIP) SQUARE,3,FITNESS CENTER,INDOOR,-87.63498316,41.834138,1507
POINT (-87.63463860271752 41.834067683364815),81,ARMOUR (PHILIP) SQUARE,3,GYMNASIUM,INDOOR,-87.6346386,41.83406768,1508
POINT (-87.63332293134366 41.833788255556115),82,ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,-87.63332293,41.83378826,1509
POINT (-87.63329985115385 41.83316508510977),83,ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,-87.63329985,41.83316509,1510
POINT (-87.6340930265841 41.833780535022115),84,ARMOUR (PHILIP) SQUARE,3,BASEBALL JR/SOFTBALL,OUTDOOR,-87.63409303,41.83378054,1511
POINT (-87.6348049998123 41.83423414331924),85,ARMOUR (PHILIP) SQUARE,3,POOL (OUTDOOR),OUTDOOR,-87.634805,41.83423414,1512
POINT (-87.6339943992023 41.83430367665722),86,ARMOUR (PHILIP) SQUARE,3,PLAYGROUND,OUTDOOR,-87.6339944,41.83430368,1513
POINT (-87.63463439362526 41.833746596496866),87,ARMOUR (PHILIP) SQUARE,3,VOLLEYBALL (SAND),OUTDOOR,-87.63463439,41.8337466,1514
POINT (-87.6335235330129 41.83426357577621),88,ARMOUR (PHILIP) SQUARE,3,SPRAY FEATURE,OUTDOOR,-87.63352353,41.83426358,1515
POINT (-87.63399652015731 41.83319415065771),89,ARMOUR (PHILIP) SQUARE,3,BASEBALL SR,OUTDOOR,-87.63399652,41.83319415,1516
POINT (-87.63460576982057 41.833021622658144),90,ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR,-87.63460577,41.83302162,1517
POINT (-87.63477510695598 41.833015206786776),91,ARMOUR (PHILIP) SQUARE,3,TENNIS COURT,OUTDOOR,-87.63477511,41.83301521,1518
POINT (-87.63494101729731 41.8330186979644),92,ARMOUR (PHILIP) SQUARE,3,SPORT ROLLER COURT,OUTDOOR,-87.63494102,41.8330187,1519
POINT (-87.60972386481906 41.814435535086616),93,ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR,-87.60972386,41.81443554,1520
POINT (-87.60972240457399 41.814255620629375),94,ARMSTRONG (LILLIAN HARDIN),492,BASKETBALL COURT,OUTDOOR,-87.6097224,41.81425562,1521
POINT (-87.61062491638609 41.81402283033164),95,ARMSTRONG (LILLIAN HARDIN),492,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.61062492,41.81402283,1522
POINT (-87.61103054011554 41.813531199228976),96,ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR,-87.61103054,41.8135312,1523
POINT (-87.61109982717878 41.8144989477328),97,ARMSTRONG (LILLIAN HARDIN),492,BASEBALL JR/SOFTBALL,OUTDOOR,-87.61109983,41.81449895,1524
POINT (-87.6097103786529 41.81377579958927),98,ARMSTRONG (LILLIAN HARDIN),492,PLAYGROUND,OUTDOOR,-87.60971038,41.8137758,1525
POINT (-87.6592385719527 41.871779147344405),99,ARRIGO (VICTOR),215,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.65923857,41.87177915,1526
POINT (-87.55735249798518 41.76263482171619),100,ASHE (ARTHUR) BEACH,459,BEACH,OUTDOOR,-87.5573525,41.76263482,1527
POINT (-87.55781280452521 41.76257420972159),101,ASHE (ARTHUR) BEACH,459,PLAYGROUND,OUTDOOR,-87.5578128,41.76257421,1528
POINT (-87.55828553166648 41.76218870663548),102,ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR,-87.55828553,41.76218871,1529
POINT (-87.55813130442556 41.762274750436305),103,ASHE (ARTHUR) BEACH,459,TENNIS COURT,OUTDOOR,-87.5581313,41.76227475,1530
POINT (-87.74818672442227 41.96866399541587),104,ASHMORE,427,PLAYGROUND PARK,OUTDOOR,-87.74818672,41.968664,1531
POINT (-87.62418441222208 41.81712721092178),105,ASPEN,321,PLAYGROUND PARK,OUTDOOR,-87.62418441,41.81712721,1532
POINT (-87.6558505712058 41.96661706901016),106,ASTER,343,PLAYGROUND PARK,OUTDOOR,-87.65585057,41.96661707,1533
POINT (-87.71740513853358 41.94699225360217),107,ATHLETIC FIELD,80,BASKETBALL COURT,OUTDOOR,-87.71740514,41.94699225,1534
POINT (-87.71736347855703 41.94746526064191),108,ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,-87.71736348,41.94746526,1535
POINT (-87.71671385689518 41.94813352898319),109,ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,-87.71671386,41.94813353,1536
POINT (-87.71669554906484 41.947466291257975),110,ATHLETIC FIELD,80,BASEBALL JR/SOFTBALL,OUTDOOR,-87.71669555,41.94746629,1537
POINT (-87.71669434787009 41.94694919461637),111,ATHLETIC FIELD,80,PLAYGROUND,OUTDOOR,-87.71669435,41.94694919,1538
POINT (-87.71673561242623 41.947159484325816),112,ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR,-87.71673561,41.94715948,1539
POINT (-87.71674052866801 41.9472910915008),113,ATHLETIC FIELD,80,TENNIS COURT,OUTDOOR,-87.71674053,41.94729109,1540
POINT (-87.73762548831901 41.89855905567818),114,AUGUSTA (CARPENTER),1021,PLAYGROUND,OUTDOOR,-87.73762549,41.89855906,1541
POINT (-87.77243428886558 41.887703704023316),115,AUSTIN (HENRY),1204,PLAYGROUND,OUTDOOR,-87.77243429,41.8877037,1542
POINT (-87.77386861262703 41.88766010233316),116,AUSTIN (HENRY),1204,SPRAY FEATURE,OUTDOOR,-87.77386861,41.8876601,1543
POINT (-87.77438197904002 41.88771320049645),117,AUSTIN (HENRY),1204,WATER PLAYGROUND,OUTDOOR,-87.77438198,41.8877132,1544
POINT (-87.77856099701441 41.976329592269316),118,AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR,-87.778561,41.97632959,1545
POINT (-87.77926093033635 41.977115584577575),119,AUSTIN FOSTER,285,BASEBALL JR/SOFTBALL,OUTDOOR,-87.77926093,41.97711558,1546
POINT (-87.77896928190148 41.975865371887984),120,AUSTIN FOSTER,285,PLAYGROUND,OUTDOOR,-87.77896928,41.97586537,1547
POINT (-87.76614604293692 41.888745873723686),121,AUSTIN TOWN HALL,207,BASKETBALL COURT,OUTDOOR,-87.76614604,41.88874587,1548
POINT (-87.76585040698262 41.88843982940432),122,AUSTIN TOWN HALL,207,FITNESS CENTER,INDOOR,-87.76585041,41.88843983,1549
POINT (-87.7655953260598 41.888286339740844),123,AUSTIN TOWN HALL,207,GYMNASIUM,INDOOR,-87.76559533,41.88828634,1550
POINT (-87.76609858991067 41.8882752738348),124,AUSTIN TOWN HALL,207,POOL (INDOOR),INDOOR,-87.76609859,41.88827527,1551
POINT (-87.76550918818185 41.888444057978454),125,AUSTIN TOWN HALL,207,PLAYGROUND,OUTDOOR,-87.76550919,41.88844406,1552
POINT (-87.59330013791781 41.743485880680716),126,AVALON,29,BASKETBALL COURT,OUTDOOR,-87.59330014,41.74348588,1553
POINT (-87.5962479328229 41.741591534061364),127,AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.59624793,41.74159153,1554
POINT (-87.59405625539542 41.74145751632877),128,AVALON,29,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.59405626,41.74145752,1555
POINT (-87.59416984170598 41.743695336814156),129,AVALON,29,FITNESS CENTER,INDOOR,-87.59416984,41.74369534,1556
POINT (-87.59421310997388 41.74356524833251),130,AVALON,29,GYMNASIUM,INDOOR,-87.59421311,41.74356525,1557
POINT (-87.59530719760517 41.74166592369029),131,AVALON,29,BASEBALL JR/SOFTBALL,OUTDOOR,-87.5953072,41.74166592,1558
