PARK,X_COORD,Y_COORD
HORAN (ALBERT),-87.70239909,41.87564096
HORNBEAM,-87.72058354,41.86187275
HORNBEAM,-87.72044118,41.8619765
HORNER (HENRY),-87.69646967,41.96088239
HORNER (HENRY),-87.69673477,41.96087444
HORNER (HENRY),-87.69635954,41.95819308
HORNER (HENRY),-87.69620727,41.95548711
HORNER (HENRY),-87.69763884,41.96062148
HORNER (HENRY),-87.69730542,41.9580612
HORNER (HENRY),-87.69713743,41.95845589
HORNER (HENRY),-87.69593628,41.95868471
HORNER (HENRY),-87.69544846,41.95824871
HORNER (HENRY),-87.69541915,41.95739138
HORNER (HENRY),-87.69542206,41.9570994
HORNER (HENRY),-87.69539256,41.95626091
HORNER (HENRY),-87.69537005,41.95598762
HORNER (HENRY),-87.69555544,41.95511264
HORNER (HENRY),-87.69797944,41.96008069
HORNER (HENRY),-87.69676728,41.95507227
HORNER (HENRY),-87.6971057,41.95657183
HORNER (HENRY),-87.69605294,41.96090833
HORNER (HENRY),-87.69572483,41.96090651
HORNER (HENRY),-87.69780044,41.95904356
HORNER (HENRY),-87.69761106,41.95905193
HORNER (HENRY),-87.69622961,41.96090931
HORNER (HENRY),-87.6959016,41.96089807
"HOUSTON (JESSIE ""MA"")",-87.60562888,41.80355686
"HOUSTON (JESSIE ""MA"")",-87.60536516,41.80356199
"HOUSTON (JESSIE ""MA"")",-87.60473456,41.80385051
HOWARD (URE) BEACH,-87.66391455,42.01886353
HOWARD (URE) BEACH,-87.6642486,42.01907479
HOYNE (THOMAS),-87.67851428,41.83127525
HOYNE (THOMAS),-87.67812366,41.83183544
HOYNE (THOMAS),-87.67851268,41.83164047
HOYNE (THOMAS),-87.6787647,41.83128621
HOYNE (THOMAS),-87.67874134,41.83191172
HUBBARD (GURDON),-87.75013514,41.88898444
HUBBARD (GURDON),-87.74983729,41.8888166
HUCKLEBERRY,-87.59523563,41.78220632
HUMBERT (JAMES),-87.64299258,41.83834695
HUMBOLDT (BARON VON),-87.70307104,41.90090963
HUMBOLDT (BARON VON),-87.70511677,41.90013676
HUMBOLDT (BARON VON),-87.7048646,41.90014793
HUMBOLDT (BARON VON),-87.69979418,41.90920487
HUMBOLDT (BARON VON),-87.70370289,41.90636508
HUMBOLDT (BARON VON),-87.69887351,41.90683123
HUMBOLDT (BARON VON),-87.70309497,41.90715886
HUMBOLDT (BARON VON),-87.70291211,41.9038275
HUMBOLDT (BARON VON),-87.69936549,41.90636319
HUMBOLDT (BARON VON),-87.70268407,41.90706431
HUMBOLDT (BARON VON),-87.70379438,41.90902697
HUMBOLDT (BARON VON),-87.70336641,41.90896813
HUMBOLDT (BARON VON),-87.70203548,41.90844612
HUMBOLDT (BARON VON),-87.70255285,41.90795937
HUMBOLDT (BARON VON),-87.70359307,41.90813456
HUMBOLDT (BARON VON),-87.7052354,41.90603452
HUMBOLDT (BARON VON),-87.70137401,41.90462929
HUMBOLDT (BARON VON),-87.70069407,41.90456278
HUMBOLDT (BARON VON),-87.70074116,41.90404833
HUMBOLDT (BARON VON),-87.70148961,41.90398341
HUMBOLDT (BARON VON),-87.70453659,41.90532141
HUMBOLDT (BARON VON),-87.70523323,41.90197024
HUMBOLDT (BARON VON),-87.70420637,41.90129927
HUMBOLDT (BARON VON),-87.70554749,41.9007668
HUMBOLDT (BARON VON),-87.69840235,41.90900961
HUMBOLDT (BARON VON),-87.6992722,41.90850681
HUMBOLDT (BARON VON),-87.70366869,41.89872908
HUMBOLDT (BARON VON),-87.69988668,41.90973988
HUMBOLDT (BARON VON),-87.6993149,41.90807963
HUMBOLDT (BARON VON),-87.70599857,41.90360955
HUMBOLDT (BARON VON),-87.70338194,41.8988405
HUMBOLDT (BARON VON),-87.69812621,41.90592951
HUMBOLDT (BARON VON),-87.6995506,41.90803699
HUMBOLDT (BARON VON),-87.7033516,41.89850765
HUMBOLDT (BARON VON),-87.69751977,41.9060768
HUMBOLDT (BARON VON),-87.69734326,41.9060821
HUMBOLDT (BARON VON),-87.69732142,41.90574303
HUMBOLDT (BARON VON),-87.6975062,41.90575033
HUMBOLDT (BARON VON),-87.70530203,41.90523773
HUMBOLDT (BARON VON),-87.7036037,41.89850276
HURLEY (TIMOTHY),-87.66940867,41.7117932
INDEPENDENCE,-87.72409952,41.95301082
INDEPENDENCE,-87.72475962,41.95315061
INDEPENDENCE,-87.72475666,41.95273658
INDEPENDENCE,-87.72476133,41.95297061
INDEPENDENCE,-87.72422461,41.95207962
INDEPENDENCE,-87.72430066,41.95256994
INDEPENDENCE,-87.72375695,41.95327703
INDEPENDENCE,-87.72348448,41.95240579
INDEPENDENCE,-87.7247202,41.95347863
INDEPENDENCE,-87.72361665,41.95216285
INDEPENDENCE,-87.72312523,41.95217072
INDEPENDENCE,-87.7232902,41.95216897
INDEPENDENCE,-87.72345168,41.95216459
INDIAN BOUNDARY,-87.69319385,42.00976937
INDIAN BOUNDARY,-87.69331051,42.00906061
INDIAN BOUNDARY,-87.69268917,42.00993741
INDIAN BOUNDARY,-87.69467156,42.0089122
INDIAN BOUNDARY,-87.6946632,42.00925014
INDIAN BOUNDARY,-87.69466484,42.00958443
INDIAN BOUNDARY,-87.69466153,42.00991497
INDIAN ROAD,-87.77816272,41.99300297
INDIAN ROAD,-87.77817641,41.9933914
INDIAN ROAD,-87.77877593,41.9928213
INDIAN ROAD,-87.77888154,41.99310831
JACKSON (ANDREW),-87.5856987,41.77951686
JACKSON (ANDREW),-87.58542943,41.77486302
